team_name,label,date,points,Home_Away,teamId,competitionId,seasonId,roundId,matchId,average_accelerations,average_aerialDuels,average_assists,average_attackingActions,average_backPasses,average_ballLosses,average_ballRecoveries,average_concededGoals,average_corners,average_crosses,average_dangerousOpponentHalfRecoveries,average_dangerousOwnHalfLosses,average_defensiveActions,average_defensiveDuels,average_defensiveDuelsWon,average_directFreeKicks,average_directFreeKicksOnTarget,average_directRedCards,average_dribbleDistanceFromOpponentGoal,average_dribbles,average_duels,average_duelsWon,average_fieldAerialDuels,average_fieldAerialDuelsWon,average_forwardPasses,average_fouls,average_freeKicks,average_freeKicksOnTarget,average_gkAerialDuels,average_gkAerialDuelsWon,average_gkExits,average_gkGoalKicks,average_gkGoalKicksSuccess,average_gkSaves,average_gkSuccessfulExits,average_goals,average_headShots,average_interceptions,average_keyPasses,average_lateralPasses,average_linkupPlays,average_longGoalKicks,average_longPassLength,average_longPasses,average_looseBallDuels,average_looseBallDuelsWon,average_missedBalls,average_newDefensiveDuelsWon,average_newDuelsWon,average_newOffensiveDuelsWon,average_newSuccessfulDribbles,average_offensiveDuels,average_offensiveDuelsWon,average_offsides,average_opponentHalfRecoveries,average_opponentOffsides,average_ownHalfLosses,average_passLength,average_passes,average_passesToFinalThird,average_penalties,average_possessionPercent,average_progressiveRun,average_receivedPass,average_redCards,average_shortGoalKicks,average_shotAssists,average_shotOnTargetAssists,average_shots,average_shotsAgainst,average_smartPasses,average_successfulAttackingActions,average_successfulBackPasses,average_successfulCrosses,average_successfulDefensiveAction,average_successfulDribbles,average_successfulForwardPasses,average_successfulKeyPasses,average_successfulLateralPasses,average_successfulLinkupPlays,average_successfulLongPasses,average_successfulPasses,average_successfulPassesToFinalThird,average_successfulPenalties,average_successfulSmartPasses,average_successfulThroughPasses,average_successfulVerticalPasses,average_throughPasses,average_touchInBox,average_verticalPasses,average_xgShot,average_xgShotAgainst,average_yellowCards,percent_aerialDuelsWon,percent_defensiveDuelsWon,percent_directFreeKicksOnTarget,percent_duelsWon,percent_fieldAerialDuelsWon,percent_gkAerialDuelsWon,percent_gkSaves,percent_gkSuccessfulExits,percent_goalConversion,percent_headShotsOnTarget,percent_newDefensiveDuelsWon,percent_newDuelsWon,percent_newOffensiveDuelsWon,percent_newSuccessfulDribbles,percent_offensiveDuelsWon,percent_penaltiesConversion,percent_shotsOnTarget,percent_successfulBackPasses,percent_successfulCrosses,percent_successfulDribbles,percent_successfulForwardPasses,percent_successfulKeyPasses,percent_successfulLateralPasses,percent_successfulLinkupPlays,percent_successfulLongPasses,percent_successfulPasses,percent_successfulPassesToFinalThird,percent_successfulShotAssists,percent_successfulSmartPasses,percent_successfulThroughPasses,percent_successfulTouchInBox,percent_successfulVerticalPasses,percent_win,percent_yellowCardsPerFoul,total_accelerations,total_aerialDuels,total_aerialDuelsWon,total_assists,total_attackingActions,total_backPasses,total_cleanSheets,total_concededGoals,total_corners,total_crosses,total_dangerousOpponentHalfRecoveries,total_dangerousOwnHalfLosses,total_defensiveActions,total_defensiveDuels,total_defensiveDuelsWon,total_directFreeKicks,total_directFreeKicksOnTarget,total_directRedCards,total_dribbles,total_duels,total_duelsWon,total_fieldAerialDuels,total_fieldAerialDuelsWon,total_forwardPasses,total_fouls,total_freeKicks,total_freeKicksOnTarget,total_gkAerialDuels,total_gkAerialDuelsWon,total_gkExits,total_gkGoalKicks,total_gkGoalKicksSuccess,total_gkSaves,total_gkSuccessfulExits,total_goals,total_headShots,total_interceptions,total_keyPasses,total_lateralPasses,total_linkupPlays,total_longGoalKicks,total_longPasses,total_looseBallDuels,total_looseBallDuelsWon,total_losses,total_matches,total_matchesTagged,total_missedBalls,total_newDefensiveDuelsWon,total_newDuelsWon,total_newOffensiveDuelsWon,total_newSuccessfulDribbles,total_offensiveDuels,total_offensiveDuelsWon,total_offsides,total_opponentHalfRecoveries,total_opponentOffsides,total_ownHalfLosses,total_passes,total_passesToFinalThird,total_penalties,total_ppda,total_pressingDuels,total_pressingDuelsWon,total_progressiveRun,total_receivedPass,total_recoveries,total_redCards,total_shortGoalKicks,total_shotAssists,total_shotOnTargetAssists,total_shots,total_shotsAgainst,total_smartPasses,total_successfulAttackingActions,total_successfulBackPasses,total_successfulCrosses,total_successfulDefensiveActions,total_successfulDribbles,total_successfulForwardPasses,total_successfulKeyPasses,total_successfulLateralPasses,total_successfulLinkupPlays,total_successfulLongPasses,total_successfulPasses,total_successfulPassesToFinalThird,total_successfulPenalties,total_successfulSmartPasses,total_successfulThroughPasses,total_successfulVerticalPasses,total_throughPasses,total_touchInBox,total_verticalPasses,total_xgShot,total_xgShotAgainst,total_yellowCards
Csikszereda Miercurea Ciuc,"FCS Bucureşti - Csikszereda Miercurea Ciuc, 1-0",2026-02-01 19:00:00,0,Away,22731,719,191642,4435361,5715865,2.81,21.56,0,33.75,37.5,113.4,89.06,0.94,1.88,6.56,3.75,8.44,147.2,69.38,8.44,1.88,0.94,0,25.37,15.94,169.7,44.06,21.56,10.31,108.8,16.88,2.81,0.94,0,0,2.81,7.5,6.56,4.69,0,0,0,56.25,0.94,60.94,4.69,5.63,19.69,50.63,18.75,5.63,5.63,43.13,75.94,16.88,8.44,60,19.69,0.94,21.56,0.94,55.31,16.37,249.4,33.75,0,34,12.19,144.4,0,3.75,6.56,0.94,11.25,19.69,0,15,34.69,0.94,109.7,9.38,66.56,0.94,49.69,0.94,24.38,185.6,22.5,0,0,1.88,49.69,5.63,7.5,60.94,0.75,3.93,1.88,47.83,12.16,50,25.97,47.83,0,0,0,0,0,62.16,44.75,28.13,52.94,32.81,0,50,92.5,14.29,58.82,61.21,100,81.54,20,48.15,74.44,66.67,42.86,0,33.33,37.5,81.54,0,11.11,3,23,11,0,36,40,0,1,2,7,4,9,157,74,9,2,1,0,17,181,47,23,11,116,18,3,1,0,0,3,8,7,5,0,0,0,60,1,65,5,6,54,20,6,121,1,1,6,46,81,18,9,64,21,1,23,1,59,266,36,0,12.58,5,0,13,154,95,0,4,7,1,12,21,0,16,37,1,117,10,71,1,53,1,26,198,24,0,0,2,53,6,8,65,0.8,4.19,2
Metaloglobus,"FCS Bucureşti - Metaloglobus, 4-1",2026-02-23 19:00:00,0,Away,11943,719,191642,4435361,5715899,1.88,24.38,0.94,28.13,37.5,92.81,55.31,3.75,1.88,10.31,2.81,11.25,109.7,50.63,7.5,0,0,0,8.19,10.31,136.9,35.63,24.38,2.81,100.3,6.56,0.94,0,0,0,0.94,12.19,7.5,6.56,0,0.94,1.88,34.69,0.94,73.13,0.94,7.5,21.8,30.94,17.81,5.63,5.63,30.94,55.31,15.94,5.63,44.06,19.69,0.94,13.13,1.88,45,16.56,256.9,17.81,0,35.4,8.44,172.5,0.94,4.69,2.81,0.94,6.56,25.31,0.94,12.19,34.69,3.75,68.44,7.5,71.25,0.94,64.69,0.94,17.81,207.2,15,0,0,0,64.69,1.88,7.5,73.13,0.43,4.78,0.94,11.54,14.81,0,26.03,11.54,0,0,0,14.29,50,61.11,40.41,36.17,54.55,44.68,0,42.86,92.5,36.36,72.73,71.03,100,88.46,100,57.58,80.66,84.21,33.33,0,0,62.5,88.46,0,14.29,2,26,3,1,30,40,0,4,2,11,3,12,117,54,8,0,0,0,11,146,38,26,3,107,7,1,0,0,0,1,13,8,7,0,1,2,37,1,78,1,8,33,19,6,99,1,1,6,33,59,17,6,47,21,1,14,2,48,274,19,0,40.6,8,0,9,184,59,1,5,3,1,7,27,1,13,37,4,73,8,76,1,69,1,19,221,16,0,0,0,69,2,8,78,0.46,5.1,1
Oţelul,"Oţelul - Hermannstadt, 2-0",2026-04-04 14:00:00,3,Home,11571,719,191642,4437511,5827663,0,58.13,0.94,25.31,63.75,111.6,79.69,0,4.69,6.56,1.88,3.75,175.3,82.5,15,2.81,1.88,0,5.87,7.5,243.8,84.38,51.56,21.56,129.4,15,4.69,1.88,0,0,0,10.31,9.38,2.81,0,1.88,0,34.69,0.94,77.81,1.88,10.31,30.79,59.06,53.44,23.44,2.81,55.31,123.8,21.56,4.69,49.69,22.5,2.81,20.63,0.94,44.06,19.86,334.7,43.13,0,50,11.25,218.4,0,0,6.56,0.94,10.31,6.56,0.94,15,60,3.75,113.4,6.56,78.75,0.94,72.19,1.88,30,264.4,27.19,0,0.94,0.94,72.19,3.75,13.13,77.81,0.98,0.57,2.81,40.32,18.18,66.67,34.62,41.82,0,0,0,18.18,0,67.05,50.77,43.4,62.5,45.28,0,54.55,94.12,57.14,87.5,60.87,100,92.77,100,50.79,78.99,63.04,57.14,100,25,50,92.77,100,18.75,0,62,25,1,27,68,1,0,5,7,2,4,187,88,16,3,2,0,8,260,90,55,23,138,16,5,2,0,0,0,11,10,3,0,2,0,37,1,83,2,11,63,57,25,119,1,1,3,59,132,23,5,53,24,3,22,1,47,357,46,0,7.93,6,0,12,233,85,0,0,7,1,11,7,1,16,64,4,121,7,84,1,77,2,32,282,29,0,1,1,77,4,14,83,1.04,0.61,3
Petrolul 52,"Petrolul 52 - Universitatea Cluj, 0-1",2025-12-14 14:30:00,0,Home,60390,719,191642,4435361,5715837,0,21.56,0,47.81,60.94,99.38,77.81,0.94,2.81,18.75,6.56,3.75,128.4,71.25,15,0.94,0,0,23.96,17.81,167.8,58.13,20.63,5.63,133.1,9.38,3.75,0.94,0,0,0,4.69,4.69,0.94,0,0,0.94,35.63,0.94,105.9,5.63,0.94,25.98,44.06,18.75,5.63,0.94,47.81,89.06,29.06,11.25,56.25,30.94,2.81,33.75,0,25.31,20.66,364.7,56.25,0,52.2,17.81,249.4,0,4.69,3.75,0.94,10.31,7.5,0.94,14.06,57.19,2.81,90,12.19,99.38,0.94,90,4.69,22.5,297.2,36.56,0,0,0,90,1.88,15.94,105.9,0.65,0.38,0.94,30.43,21.05,0,34.64,27.27,0,0,0,0,0,67.11,53.07,51.67,63.16,55,0,0,93.85,15,68.42,74.65,100,84.96,83.33,51.06,81.49,65,75,0,0,17.65,84.96,0,10,0,23,7,0,51,65,0,1,3,20,7,4,137,76,16,1,0,0,19,179,62,22,6,142,10,4,1,0,0,0,5,5,1,0,0,1,38,1,113,6,1,47,20,6,106,1,1,1,51,95,31,12,60,33,3,36,0,27,389,60,0,9.47,5,0,19,266,83,0,5,4,1,11,8,1,15,61,3,96,13,106,1,96,5,24,317,39,0,0,0,96,2,17,113,0.69,0.4,1
UTA Arad,"Hermannstadt - UTA Arad, 1-2",2025-11-30 14:00:00,3,Away,30817,719,191642,4435361,5715818,0,40.31,0.94,51.56,81.56,96.56,73.13,0.94,1.88,16.88,5.63,1.88,119.1,49.69,14.06,0,0,0,18.64,20.63,162.2,64.69,39.38,19.69,152.8,17.81,0.94,0.94,0,0,1.88,6.56,4.69,0.94,0,1.88,1.88,29.06,0.94,203.4,0,4.69,33.99,46.88,15.94,2.81,0,28.13,73.13,22.5,12.19,56.25,28.13,0,29.06,2.81,32.81,18.58,510.9,69.38,0,64,18.75,396.6,0,1.88,6.56,0.94,14.06,5.63,0,18.75,75.94,2.81,76.88,16.88,119.1,0.94,182.8,0,26.25,439.7,55.31,0,0,0.94,182.8,1.88,11.25,203.4,0.77,0.72,1.88,48.84,28.3,0,39.88,50,0,0,0,13.33,50,56.6,45.09,40,59.09,50,0,26.67,93.1,16.67,81.82,77.91,100,89.86,0,56,86.06,79.73,57.14,0,50,16.67,89.86,100,10.53,0,43,21,1,55,87,0,1,2,18,6,2,127,53,15,0,0,0,22,173,69,42,21,163,19,1,1,0,0,2,7,5,1,0,2,2,31,1,217,0,5,50,17,3,103,1,1,0,30,78,24,13,60,30,0,31,3,35,545,74,0,6.5,0,0,20,423,78,0,2,7,1,15,6,0,20,81,3,82,18,127,1,195,0,28,469,59,0,0,1,195,2,12,217,0.82,0.77,2
Unirea Slobozia,"Rapid Bucureşti - Unirea Slobozia, 4-1",2025-10-27 19:30:00,0,Away,11663,719,191642,4435361,5715788,0.94,24.38,0.94,35.63,44.06,80.63,57.19,3.75,0,11.25,0,10.31,131.2,72.19,10.31,0,0,0,17.16,17.81,166.9,61.88,24.38,13.13,116.2,6.56,0,0,0,0,0.94,10.31,10.31,0.94,0,0.94,0.94,34.69,0.94,135,4.69,4.69,28.84,31.88,11.25,6.56,4.69,45,90,25.31,9.38,59.06,31.88,0,8.44,0,37.5,18.06,342.2,35.63,0,39.3,18.75,242.8,0,6.56,4.69,0.94,4.69,15.94,1.88,16.88,44.06,4.69,92.81,15,86.25,0.94,123.8,2.81,15.94,285.9,26.25,0,0.94,0,123.8,1.88,5.63,135,0.46,1.19,0,53.85,14.29,0,37.08,53.85,0,0,0,20,0,62.34,53.93,42.86,52.63,53.97,0,40,100,41.67,84.21,74.19,100,91.67,60,50,83.56,73.68,80,50,0,50,91.67,0,0,1,26,14,1,38,47,0,4,0,12,0,11,140,77,11,0,0,0,19,178,66,26,14,124,7,0,0,0,0,1,11,11,1,0,1,1,37,1,144,5,5,34,12,7,86,1,1,5,48,96,27,10,63,34,0,9,0,40,365,38,0,30.79,5,0,20,259,61,0,7,5,1,5,17,2,18,47,5,99,16,92,1,132,3,17,305,28,0,1,0,132,2,6,144,0.49,1.27,0
Unirea Slobozia,"Unirea Slobozia - Rapid Bucureşti, 1-2",2026-03-02 18:30:00,0,Home,11663,719,191642,4435361,5715908,0,39.38,0.94,32.81,39.38,101.2,61.88,1.88,3.75,10.31,0.94,11.25,135,77.81,20.63,0,0,0,17.28,14.06,187.5,58.13,33.75,12.19,126.6,4.69,2.81,1.88,0,0,0.94,10.31,10.31,3.75,0,0.94,2.81,17.81,0.94,169.7,0,3.75,27.81,45,19.69,4.69,3.75,53.44,88.13,15,7.5,50.63,17.81,0.94,12.19,0.94,34.69,20,373.1,43.13,0,45.8,8.44,261.6,0,6.56,6.56,0.94,8.44,20.63,0,14.06,33.75,2.81,86.25,9.38,86.25,0.94,154.7,0,27.19,304.7,29.06,0,0,0,154.7,0,8.44,169.7,1.06,2.07,0.94,38.1,26.51,0,31,36.11,0,0,0,11.11,66.67,68.67,47,29.63,53.33,35.19,0,44.44,85.71,27.27,66.67,68.15,100,91.16,0,60.42,81.66,67.39,57.14,0,0,66.67,91.16,0,20,0,42,16,1,35,42,0,2,4,11,1,12,144,83,22,0,0,0,15,200,62,36,13,135,5,3,2,0,0,1,11,11,4,0,1,3,19,1,181,0,4,48,21,5,108,1,1,4,57,94,16,8,54,19,1,13,1,37,398,46,0,21.87,0,0,9,279,66,0,7,7,1,9,22,0,15,36,3,92,10,92,1,165,0,29,325,31,0,0,0,165,0,9,181,1.13,2.21,1
Unirea Slobozia,"Argeș - Unirea Slobozia, 0-0",2026-03-08 16:00:00,1,Away,11663,719,191642,4435361,5715917,1.88,44.06,0,29.06,30,119.1,76.88,0,1.88,9.38,1.88,2.81,131.2,49.69,10.31,0.94,0,0,9.07,13.13,176.2,54.38,41.25,13.13,116.2,4.69,2.81,0.94,0,0,1.88,9.38,6.56,1.88,0,0,0.94,37.5,0.94,46.88,1.88,10.31,29.86,61.88,37.5,11.25,5.63,33.75,74.06,15,6.56,45,18.75,0.94,16.88,1.88,46.88,19.53,228.8,33.75,0,34.8,10.31,98.44,0,0,2.81,0.94,6.56,9.38,0,12.19,27.19,3.75,85.31,8.44,63.75,0.94,30,0,27.19,146.2,13.13,0,0,0,30,0,8.44,46.88,0.23,0.27,0.94,31.91,20.75,0,30.85,31.82,0,0,0,0,0,67.92,42.02,33.33,50,41.67,0,28.57,90.63,40,64.29,54.84,100,64,0,43.94,63.93,38.89,66.67,0,0,33.33,64,0,20,2,47,15,0,31,32,1,0,2,10,2,3,140,53,11,1,0,0,14,188,58,44,14,124,5,3,1,0,0,2,10,7,2,0,0,1,40,1,50,2,11,66,40,12,127,1,1,6,36,79,16,7,48,20,1,18,2,50,244,36,0,20,13,0,11,105,82,0,0,3,1,7,10,0,13,29,4,91,9,68,1,32,0,29,156,14,0,0,0,32,0,9,50,0.25,0.29,1
Universitatea Cluj,"Universitatea Cluj - Botoşani, 0-2",2025-10-18 14:00:00,0,Home,60374,719,191642,4435361,5715781,2.81,45,0,41.25,60,112.5,75.94,1.88,4.69,4.69,0.94,7.5,135.9,55.31,9.38,0.94,0,0,22.7,25.31,174.4,62.81,40.31,19.69,141.6,12.19,2.81,1.88,0,0,0,10.31,9.38,5.63,0,0,4.69,35.63,0.94,94.69,2.81,1.88,30.46,51.56,15.94,7.5,4.69,35.63,85.31,18.75,11.25,58.13,22.5,1.88,19.69,0,36.56,18.09,357.2,45,0,47.9,10.31,230.6,0,8.44,8.44,0.94,10.31,17.81,0.94,15,51.56,1.88,94.69,13.13,102.2,0.94,72.19,1.88,27.19,281.2,26.25,0,0.94,0.94,72.19,3.75,15.94,94.69,0.89,1.5,1.88,52.08,16.95,0,36.02,48.84,0,0,0,0,20,64.41,48.92,32.26,44.44,38.71,0,9.09,85.94,40,51.85,72.19,100,76.24,66.67,52.73,78.74,58.33,55.56,100,25,23.53,76.24,0,15.38,3,48,25,0,44,64,0,2,5,5,1,8,145,59,10,1,0,0,27,186,67,43,21,151,13,3,2,0,0,0,11,10,6,0,0,5,38,1,101,3,2,55,17,8,120,1,1,5,38,91,20,12,62,24,2,21,0,39,381,48,0,13.54,9,0,11,246,81,0,9,9,1,11,19,1,16,55,2,101,14,109,1,77,2,29,300,28,0,1,1,77,4,17,101,0.95,1.6,2
Argeș,"Argeș - Universitatea Craiova, 1-2",2025-11-21 19:30:00,0,Home,23334,719,191642,4435361,5715809,0.95,35.05,0.95,42.63,47.37,114.6,77.68,1.89,12.32,17.05,3.79,4.74,127,57.79,13.26,0,0,0,20.24,13.26,168.6,59.68,33.16,13.26,119.4,12.32,1.89,0.95,0,0,0.95,5.68,4.74,1.89,0,0.95,0.95,34.11,0.95,84.32,0.95,1.89,27.92,42.63,20.84,9.47,4.74,33.16,77.68,21.79,8.53,54.95,23.68,2.84,28.42,1.89,29.37,18.13,288.9,46.42,0,45.5,9.47,186.6,0,3.79,5.68,0.95,10.42,9.47,1.89,14.21,44.53,3.79,80.53,9.47,83.37,0.95,65.37,0,21.79,214.1,26.53,0,0,0,65.37,3.79,17.05,84.32,1.16,1.67,2.84,37.84,22.95,0,35.39,40,0,0,0,9.091,100,57.38,46.07,39.66,64.29,43.1,0,18.18,94,22.22,71.43,69.84,100,77.53,0,51.11,74.1,57.14,16.67,0,0,33.33,77.53,0,23.08,1,37,14,1,45,50,0,2,13,18,4,5,134,61,14,0,0,0,14,178,63,35,14,126,13,2,1,0,0,1,6,5,2,0,1,1,36,1,89,1,2,45,22,10,121,1,1,5,35,82,23,9,58,25,3,30,2,31,305,49,0,10.9,12,0,10,197,82,0,4,6,1,11,10,2,15,47,4,85,10,88,1,69,0,23,226,28,0,0,0,69,4,18,89,1.22,1.76,3
Argeș,"Argeș - FCS Bucureşti, 1-0",2026-01-16 19:00:00,3,Home,23334,719,191642,4435361,5715850,3.79,62.53,0.95,41.68,32.21,127.9,91.89,0,3.79,8.53,4.74,4.74,189.5,67.26,16.11,0.95,0,0,33.36,26.53,235.9,85.26,56.84,26.53,120.3,14.21,0.95,0,0,0,1.89,10.42,8.53,3.79,0,0.95,0,59.68,0.95,36.95,1.89,8.53,21.44,44.53,36.95,17.05,4.74,37.89,101.4,18.95,7.58,69.16,24.63,1.89,31.26,1.89,46.42,22.62,219.8,47.37,0,33.3,8.53,106.1,0,1.89,0.95,0.95,6.63,9.47,0,12.32,28.42,2.84,125,9.47,64.42,0.95,33.16,0,19.89,144,21.79,0,0,0,33.16,0.95,5.68,36.95,0.27,0.58,0.95,43.94,23.94,0,36.14,46.67,0,0,0,14.29,0,56.34,42.97,27.4,28.57,35.62,0,28.57,88.24,33.33,35.71,53.54,100,89.74,0,44.68,65.52,46,100,0,0,16.67,89.74,100,6.667,4,66,29,1,44,34,1,0,4,9,5,5,200,71,17,1,0,0,28,249,90,60,28,127,15,1,0,0,0,2,11,9,4,0,1,0,63,1,39,2,9,47,39,18,135,1,1,5,40,107,20,8,73,26,2,33,2,49,232,50,0,9.23,18,0,9,112,97,0,2,1,1,7,10,0,13,30,3,132,10,68,1,35,0,21,152,23,0,0,0,35,1,6,39,0.29,0.61,1
Hermannstadt,"CFR Cluj - Hermannstadt, 2-1",2025-10-05 14:00:00,0,Away,55427,719,191642,4435361,5715768,0.95,20.84,0.95,44.53,54.95,122.2,81.47,1.89,1.89,11.37,1.89,9.47,138.3,62.53,18,0,0,0,28.04,27.47,171.5,49.26,19.89,11.37,137.4,12.32,0,0,0,0,0,4.74,4.74,5.68,0,0.95,0.95,54.95,0.95,171.5,4.74,0.95,27.41,59.68,31.26,5.68,0.95,37.89,70.11,14.21,11.37,56.84,13.26,0,24.63,0,44.53,17.71,439.6,47.37,0,43.6,18,324,0,3.79,4.74,0.95,5.68,17.05,0,14.21,52.11,1.89,105.2,10.42,97.58,0.95,149.7,2.84,32.21,368.5,25.58,0,0,0,149.7,0.95,9.47,171.5,0.23,1.31,2.84,59.09,28.79,0,28.73,57.14,0,0,0,16.67,100,60.61,40.88,25,41.38,23.33,0,16.67,94.83,16.67,37.93,71.03,100,87.29,60,53.97,83.84,54,20,0,0,30,87.29,0,23.08,1,22,13,1,47,58,0,2,2,12,2,10,146,66,19,0,0,0,29,181,52,21,12,145,13,0,0,0,0,0,5,5,6,0,1,1,58,1,181,5,1,63,33,6,129,1,1,1,40,74,15,12,60,14,0,26,0,47,464,50,0,13.48,4,0,19,342,86,0,4,5,1,6,18,0,15,55,2,111,11,103,1,158,3,34,389,27,0,0,0,158,1,10,181,0.24,1.38,3
Unirea Slobozia,"Unirea Slobozia - UTA Arad, 1-3",2026-01-17 12:00:00,0,Home,11663,719,191642,4435361,5715855,0.96,30.64,0.96,39.26,49.79,115.8,72.77,2.87,6.7,14.36,1.91,3.83,131.2,64.15,13.4,0,0,0,14.93,15.32,169.5,67.02,27.77,15.32,153.2,9.57,0.96,0.96,0,0,0.96,6.7,5.74,3.83,0,0.96,0,36.38,0.96,86.17,4.79,3.83,29.44,47.87,20.11,8.62,0.96,38.3,85.21,21.06,6.7,54.57,27.77,0.96,19.15,2.87,32.55,19.15,343.7,41.17,0,42,11.49,222.1,0,3.83,4.79,0.96,7.66,9.57,1.91,12.45,45,0.96,91.91,12.45,106.3,0.96,67.98,4.79,23.94,265.2,20.11,0,0.96,0.96,67.98,3.83,9.57,86.17,1.26,1.33,2.87,56.25,20.9,0,39.55,55.17,0,0,0,12.5,0,59.7,50.28,38.6,43.75,50.88,0,50,90.38,6.67,81.25,69.38,100,78.89,100,50,77.16,48.84,40,50,25,50,78.89,0,30,1,32,18,1,41,52,0,3,7,15,2,4,137,67,14,0,0,0,16,177,70,29,16,160,10,1,1,0,0,1,7,6,4,0,1,0,38,1,90,5,4,50,21,9,121,1,1,1,40,89,22,7,57,29,1,20,3,34,359,43,0,13.25,13,0,12,232,76,0,4,5,1,8,10,2,13,47,1,96,13,111,1,71,5,25,277,21,0,1,1,71,4,10,90,1.32,1.39,3
Unirea Slobozia,"Universitatea Cluj - Unirea Slobozia, 1-0",2026-01-24 16:00:00,0,Away,11663,719,191642,4435361,5715863,3.83,33.51,0,45,50.74,98.62,72.77,0.96,3.83,20.11,1.91,2.87,136.9,73.72,20.11,0,0,0,22.44,20.11,175.2,59.36,29.68,7.66,122.5,12.45,1.91,0,0,0,0,1.91,1.91,1.91,0,0,1.91,29.68,0.96,155.1,4.79,0.96,34.06,58.4,14.36,4.79,12.45,48.83,87.13,24.89,12.45,53.62,25.85,7.66,25.85,0.96,32.55,19.5,405,36.38,0,49,16.28,290.1,0,4.79,2.87,0.96,3.83,9.57,0.96,22.02,49.79,7.66,87.13,14.36,79.47,0.96,134,4.79,30.64,328.4,17.23,0,0.96,0.96,134,5.74,15.32,155.1,0.34,0.61,0.96,25.71,27.27,0,33.88,25.81,0,0,0,0,50,66.23,49.73,46.43,61.9,48.21,0,25,98.11,38.1,71.43,64.84,100,86.42,100,52.46,81.09,47.37,33.33,100,16.67,37.5,86.42,0,7.692,4,35,9,0,47,53,0,1,4,21,2,3,143,77,21,0,0,0,21,183,62,31,8,128,13,2,0,0,0,0,2,2,2,0,0,2,31,1,162,5,1,61,15,5,103,1,1,13,51,91,26,13,56,27,8,27,1,34,423,38,0,11.06,12,0,17,303,76,0,5,3,1,4,10,1,23,52,8,91,15,83,1,140,5,32,343,18,0,1,1,140,6,16,162,0.35,0.64,1
Universitatea Cluj,"Universitatea Cluj - Universitatea Craiova, 0-0",2025-12-01 18:00:00,1,Home,60374,719,191642,4435361,5715823,0.96,29.68,0,33.51,51.7,98.62,76.6,0,3.83,10.53,1.91,2.87,119.7,51.7,12.45,0,0,0,18.11,19.15,159.9,58.4,29.68,12.45,143.6,5.74,1.91,0.96,0,0,1.91,7.66,6.7,7.66,0,0,0.96,38.3,0.96,127.3,4.79,2.87,28.78,45.96,20.11,9.57,3.83,30.64,73.72,21.06,11.49,58.4,23.94,0,15.32,1.91,44.04,20.68,361.9,22.98,0,36.8,7.66,259.5,0,13.4,3.83,0.96,3.83,16.28,0,12.45,50.74,0.96,81.38,12.45,104.4,0.96,114.9,2.87,22.98,300.6,12.45,0,0,0.96,114.9,7.66,6.7,127.3,0.21,1.64,0,41.94,24.07,0,36.53,41.94,0,0,0,0,0,59.26,46.11,36.07,60,40.98,0,0,98.15,9.09,65,72.67,100,90.23,60,50,83.07,54.17,50,0,12.5,14.29,90.23,0,0,1,31,13,0,35,54,1,0,4,11,2,3,125,54,13,0,0,0,20,167,61,31,13,150,6,2,1,0,0,2,8,7,8,0,0,1,40,1,133,5,3,48,21,10,103,1,1,4,32,77,22,12,61,25,0,16,2,46,378,24,0,34.23,10,0,8,271,80,0,14,4,1,4,17,0,13,53,1,85,13,109,1,120,3,24,314,13,0,0,1,120,8,7,133,0.22,1.71,0
UTA Arad,"UTA Arad - Universitatea Cluj, 0-2",2025-11-22 14:00:00,0,Home,30817,719,191642,4435361,5715810,0.97,35.81,0,47.42,53.23,111.3,69.68,1.94,8.71,15.48,2.9,8.71,126.8,61.94,14.52,0,0,0,7.33,21.29,173.2,67.74,31.94,13.55,145.2,3.87,2.9,0.97,0,0,1.94,2.9,2.9,3.87,0,0,2.9,29.03,0.97,160.7,0,0.97,30.3,53.23,12.58,5.81,4.84,42.58,86.13,22.26,9.68,62.9,31.94,5.81,25.16,0,33.87,18.2,396.8,58.06,0,54.3,12.58,279.7,0,1.94,6.77,0.97,10.65,15.48,0,26.13,50.32,11.61,87.1,19.35,103.5,0.97,146.1,0,27.1,324.2,39.68,0,0,0.97,146.1,3.87,10.65,160.7,0.48,1.75,0.97,43.24,23.44,0,39.11,42.42,0,0,0,0,66.67,68.75,49.72,35.38,45.45,50.77,0,45.45,94.55,75,90.91,71.33,100,90.96,0,50.91,81.71,68.33,85.71,0,25,54.55,90.96,0,25,1,37,16,0,49,55,0,2,9,16,3,9,131,64,15,0,0,0,22,179,70,33,14,150,4,3,1,0,0,2,3,3,4,0,0,3,30,1,166,0,1,55,13,6,115,1,1,5,44,89,23,10,65,33,6,26,0,35,410,60,0,14.53,1,0,13,289,72,0,2,7,1,11,16,0,27,52,12,90,20,107,1,151,0,28,335,41,0,0,1,151,4,11,166,0.5,1.81,1
